date,fifth-price,fifth-value,first-price,first-value,fourth-price,fourth-value,last2-price,last2-value,last3b-price,last3b-value,last3f-price,last3f-value,near1-price,near1-value,second-price,second-value,third-price,third-value
2010-03-01,20000.00,395611|018634|231860|859034|478849|472263|065082|190071|541265|528973|614416|030386|193920|283491|042989|617607|553299|791513|771196|665419|406499|525911|636176|004318|408195|942579|866267|275539|390085|387352|782201|581269|118012|475564|381899|458581|518520|314545|630145|891446|550866|177447|179086|999700|147533|606136|876112|934322|603269|536030|736609|226148|758774|261945|815365|446174|032094|820176|447529|963715|790769|153677|474541|787247|916550|805536|187458|417455|875215|241027|705298|555610|200238|425884|927772|214559|520262|635234|095599|942228|012416|363244|095917|415665|345731|102850|649046|695880|419996|432595|849913|394902|286250|205345|366750|158288|043712|969894|352520|743094,6000000.00,215227,40000.00,100716|944021|176231|740642|253383|088478|504687|352446|614567|681176|140516|173819|753386|274974|668960|352301|057685|766142|006187|542231|518817|349886|042098|266317|584295|202090|614348|444619|156825|978962|686016|432477|083296|119741|879532|045825|711871|233378|633351|316040|469824|931460|929414|550903|792585|242243|497278|807899|819503|915154,2000.00,97,4000.00,457|627|374|470,4000.00,,100000.00,215226|215228,200000.00,805435|369715|960407|045998|842613,80000.00,855317|339169|931770|810875|173911|546481|583223|089629|807838|250162
2010-03-16,20000.00,942825|847664|090406|626645|851778|843459|501342|231739|843143|089962|849102|011884|599795|878959|224373|279617|271259|219150|178561|288082|399045|190529|561918|776456|319925|955536|983540|021311|057333|238548|458002|075504|698129|451413|737280|775796|940622|403753|174150|289045|056895|063759|392431|927895|590698|251670|288154|773013|988635|447339|556530|867399|718206|717784|446475|716975|808209|967033|053103|692235|305973|129814|669260|473616|808763|064119|796675|306237|986381|338212|295471|091770|485380|211846|943692|202708|437626|539969|473421|232021|848911|875665|246059|387118|057874|477249|024217|679148|772658|298392|439501|675527|417811|466041|663892|312196|242618|933233|441898|525814,6000000.00,364222,40000.00,501772|010838|498028|721750|459138|041069|070057|150617|070903|102555|627443|736879|087444|103568|542435|037672|171070|817233|017473|036124|994063|224947|056994|024518|864302|406716|263071|358956|369886|673131|978363|449595|138460|263689|075322|733513|303404|139126|763122|808072|742671|139965|859178|498497|524607|379664|892997|771011|875339|693206,2000.00,97,4000.00,619|996|229|756,4000.00,,100000.00,364221|364223,200000.00,772996|787267|471341|496778|161324,80000.00,758127|690308|332371|418005|198653|902436|158648|858556|752066|095975
2010-04-01,20000.00,028418|095618|534066|986127|013053|059295|799130|660837|257259|375046|103920|691620|159806|439906|661628|763199|874025|041404|510375|055781|156980|365765|527959|675066|500153|667452|717409|283842|510527|536430|209988|459609|459039|824552|874693|459489|097341|297778|213735|872813|484459|096825|277384|211939|480698|267622|109227|389894|712640|518201|960647|051189|136100|645200|829202|632202|089352|940605|287319|765554|292658|064961|027955|665536|720697|646469|173229|724021|232073|505392|722021|545977|117682|144784|897216|686589|441515|973819|580239|864337|198372|814615|990074|098516|282646|192564|695969|358426|941271|135666|092712|268081|416333|129579|136050|664904|637899|533633|033878|750902,6000000.00,959517,40000.00,265502|518953|484389|378610|322760|919261|481771|743159|790053|604582|732666|880038|474498|181546|135325|175395|778795|163098|449433|525649|169847|851940|210149|106778|549778|095801|025987|404706|964982|150894|136338|231339|622798|493688|756814|901513|118618|341959|889455|077921|158399|975968|024538|762230|322329|432488|234592|686758|530134|948356,2000.00,22,4000.00,174|663|447|040,4000.00,,100000.00,959516|959518,200000.00,372047|539618|191813|076154|047571,80000.00,779577|317055|992897|476571|400489|047396|785513|530319|041454|887779
2010-04-16,20000.00,989942|893753|250241|718349|687661|238293|544578|197145|988908|258970|005047|883264|735523|793592|164752|012919|216041|167575|041342|923211|174163|849639|359987|760815|590800|303556|652876|924916|647946|154747|959580|236359|846625|144089|682191|816119|159661|805832|553793|463850|797896|311163|900445|399526|475385|365831|591448|231659|551144|744953|762081|670471|598855|673318|293813|483687|007713|643425|676935|841048|531402|368886|437209|304731|633911|322790|889133|827515|194378|989371|329737|591270|633173|098307|415481|232373|461049|126140|485042|720634|591320|796379|058795|324320|122023|756178|428020|467071|456487|172676|765086|451838|427940|465987|232612|521251|692931|049414|784648|511958,6000000.00,211743,40000.00,391493|790451|210615|882686|089578|601021|300487|969950|976563|698538|828912|390052|328672|746884|669964|210650|774148|928125|030095|479751|521805|986062|196958|644666|878819|898513|767948|266109|746428|493292|499370|423200|864980|580197|310789|051376|440956|404001|351261|163912|083058|638516|056379|788903|935164|738940|657842|500948|290611|296182,2000.00,96,4000.00,811|744|154|285,4000.00,,100000.00,211742|211744,200000.00,735054|499842|754286|007384|941434,80000.00,250029|935400|793484|587075|676618|499541|017333|834031|120753|786327
2010-05-02,20000.00,649169|938542|902303|724501|054859|627805|324731|387872|968257|807604|894887|132089|749408|191948|355681|115882|881091|226648|923751|911238|925808|265382|523925|307861|036196|796585|097729|100817|797521|086874|201913|790526|718713|726224|634814|873691|176479|994069|597948|645983|547882|096941|181562|320172|882386|150462|972822|374675|277497|470069|541170|274917|456790|359295|201682|147832|293281|327267|265532|657322|468205|001731|272221|875132|665411|482297|178661|226097|881900|692395|285809|037374|689756|180963|711084|679206|966590|439033|535296|965173|567710|274171|498520|148172|262244|107920|878011|321726|475765|275751|139397|902822|157500|059561|696732|496715|171689|419080|886991|203189,6000000.00,360371,40000.00,763413|567801|063789|001245|259118|680902|489972|470494|376777|066522|726471|105012|812762|320172|109811|234204|714832|651689|732334|716487|071488|849945|691865|956166|258161|832696|733204|852796|562512|269832|951766|970956|174900|352699|759919|394876|076129|065095|199660|669392|445528|600449|195247|033106|657474|391210|906278|442690|492256|258819,2000.00,06,4000.00,382|040|517|618,4000.00,,100000.00,360370|360372,200000.00,477603|850653|603286|198906|495075,80000.00,658575|434046|513123|971537|726456|012216|541655|089856|529368|316271
2010-05-16,20000.00,030825|871743|162003|196962|372367|030037|845917|313738|297897|217815|651423|650155|521630|428123|739426|716242|916938|404143|905444|706053|891696|327052|805446|450520|657860|700698|318525|308144|309117|524636|623710|431112|755284|980535|668054|686899|722165|166761|346058|381275|334167|533111|336273|115041|820382|103737|070321|256833|572933|109776|029396|538046|655594|825597|219181|089045|405725|896140|987440|737973|470754|530517|589112|012313|084970|142672|436502|017203|210776|007214|574619|711629|068975|798010|869011|645762|211001|100829|397525|746895|614829|966518|668884|769053|073153|708261|921261|330322|830953|325901|892891|097140|944203|168607|223039|420697|471512|423772|492304|844296,6000000.00,480012,40000.00,336360|347272|467997|276111|811520|410224|781008|835968|004690|376219|854675|677224|584216|696337|977889|470706|763977|761294|860560|543819|653235|717524|101890|705992|683596|295871|912911|068926|621968|661081|848031|759562|703362|284434|575312|221767|000298|963345|252467|843739|261916|297029|354912|489055|136218|763597|880482|834354|358637|123231,2000.00,12,4000.00,293|151|770|008,4000.00,,100000.00,480011|480013,200000.00,149276|022922|486865|886942|397364,80000.00,628147|869261|527497|002249|523839|172623|583179|307102|854422|340683
2010-06-01,20000.00,586870|245228|649926|469212|703493|502696|187430|928573|950178|049853|127624|453595|564177|832480|934387|841576|693608|264907|371252|102915|137046|684885|527830|050975|333959|707233|388768|052839|803751|247416|275718|277247|526427|555961|133586|286887|746551|757630|217364|548068|718094|204139|234976|593947|310150|349379|316398|647091|232705|276716|826305|900022|750512|034649|155436|769646|316269|851980|932411|345907|833179|185439|152374|766171|280346|534380|796829|528773|345898|877887|670161|108576|995083|219797|804119|306904|274635|917376|987250|924854|383139|881802|387534|355178|243214|197756|221392|056614|478731|261348|540590|241805|044145|545816|157630|247830|562561|016532|611542|200124,6000000.00,444874,40000.00,202704|349296|716369|168728|004293|003409|876484|791976|778164|453804|508868|837239|167551|486843|255684|285294|190618|368309|715386|932019|115181|155950|087518|816815|238860|048593|749550|466051|828916|300313|269843|540355|713208|247240|553093|915184|291559|491626|700708|400643|991261|272744|980624|221020|418207|249986|962898|069903|107415|548420,2000.00,81,4000.00,374|298|996|673,4000.00,,100000.00,444873|444875,200000.00,081429|418378|335969|454783|003690,80000.00,250621|355929|754268|800344|773743|906405|245280|395789|096250|371229
2010-06-16,20000.00,065035|185719|073928|057273|941091|847403|460464|869033|426070|414419|327997|677539|719545|922670|707739|724291|481965|949541|199057|742216|088438|494497|332914|508452|010843|409625|923449|751009|385787|826789|536480|786708|758470|782754|371641|084820|723320|757191|002634|139710|560592|012693|397680|325429|892767|060217|812412|923008|751703|318081|716936|337339|797403|204977|859736|263247|570003|077380|285740|855914|630439|223357|324059|305378|489069|138520|692703|761316|592091|349781|478276|862709|193449|828395|169210|728711|104238|321123|623916|590404|341234|638284|964164|354551|113177|546986|317601|933571|090675|327710|947876|725648|803140|487211|825113|180309|463727|623233|350432|802431,6000000.00,500104,40000.00,054812|226343|703046|939664|253380|779892|788672|111981|035948|834378|966941|749955|943589|124819|447862|884949|908244|023523|556652|514446|437119|459330|392004|619660|665516|094606|920606|372369|815499|886995|796424|825983|766838|166862|312813|180706|689890|561456|940009|487332|516178|959437|337858|843331|987505|699137|732765|950750|135594|997596,2000.00,73,4000.00,200|628|681|816,4000.00,,100000.00,500103|500105,200000.00,350358|777902|260941|864439|870674,80000.00,100804|797690|040538|552329|181102|790086|551631|810767|988011|373481
2010-07-01,20000.00,542918|169637|656954|389573|497500|781136|285251|991925|153836|210989|203571|621257|655207|860967|155909|572197|679519|149062|929644|889060|339404|629928|311661|512351|870979|630367|342955|641607|300480|579417|691805|178949|077860|879015|056152|418055|899687|681724|615319|346478|942967|612381|131176|703201|782457|037130|792647|687366|120272|046974|923957|764631|263986|431733|284651|183136|002787|542013|322354|179394|710916|593327|532911|402074|881008|333429|504550|846816|945210|671492|913923|063282|786891|122734|217470|097056|032408|849459|159329|961497|835693|408682|117053|767087|098401|168764|308037|315548|180657|873470|423533|734079|771366|540641|213264|398882|544941|671637|448711|243067,6000000.00,480239,40000.00,777018|692635|353346|920777|843546|251810|693012|543758|218458|009075|332064|574580|687231|181667|000596|198407|454329|690522|424560|749141|334222|326941|831608|671018|310359|846313|216403|834544|021799|572961|232806|031999|757224|835295|234384|103418|002099|535883|255211|582860|935949|537317|048361|540077|393025|660883|593989|434632|069373|196656,2000.00,68,4000.00,893|450|918|961,4000.00,,100000.00,480238|480240,200000.00,468232|338552|927635|153891|417257,80000.00,623276|447409|591687|888260|980816|683005|822357|428294|752156|100417
2010-07-16,20000.00,163625|376321|020097|707150|846372|997858|318866|426963|926669|773525|057769|005605|849059|758313|360758|335883|950387|432713|718655|801478|083071|943819|967400|149602|692700|729198|452782|139240|246865|447553|419664|837051|682464|108308|019452|850004|818700|597675|897467|934876|827478|608305|757130|033008|258625|008307|119509|475371|058400|492296|180709|881708|502919|241696|519787|926672|053633|692587|099552|780213|157979|397879|555047|897315|964837|653388|646046|396630|815618|904565|133403|345752|471746|492511|444238|078671|341591|902902|897394|748458|429633|119146|014037|686569|955117|701843|001412|306246|401980|579893|685006|752298|330560|235779|190991|911531|346685|591631|417876|094640,6000000.00,180387,40000.00,249000|031363|660849|262744|657818|958485|512364|992110|954317|335850|644040|834762|136536|726545|509017|560888|378390|378750|972585|162946|087749|541286|949912|567836|908317|857159|913487|049285|717730|015359|732446|954474|959598|450560|389609|797339|052501|425046|408127|786525|122781|935243|668599|126673|709346|838618|352278|678063|701390|146657,2000.00,34,4000.00,309|219|572|024,4000.00,,100000.00,180386|180388,200000.00,809445|452705|251922|915006|709572,80000.00,260348|417458|116354|208301|621969|667985|301093|085458|210516|997663
